Date,Asian Open,Asian High,Asian Low,Asian Close,Asian Adj Close,Asian Volume,Dmart Open,Dmart High,Dmart Low,Dmart Close,Dmart Adj Close,Dmart Volume,,,,,,,,,,,Dropdown,,,Date,Dmart Volume,Asian Volume
11-03-2022,2917,2939.949951,2882.350098,2932,2915.200439,1265493,4167,4210,4109.25,4198.950195,4198.950195,387534,,,,,,,,,,,,,,11-03-2022,387534,1265493
14-03-2022,2950,2972.350098,2917.300049,2962.800049,2945.823975,1214217,4190,4218,4150,4168.25,4168.25,305326,,,,,,,,,,,,,,14-03-2022,305326,1214217
15-03-2022,2998,3032,2966,2987.149902,2970.034424,1857685,4191,4251,4171.75,4231.049805,4231.049805,560819,,,,,,,,,,,,,,15-03-2022,560819,1857685
16-03-2022,3043,3050,3010.75,3042,3024.570068,1287234,4229.75,4243.600098,4153,4169.549805,4169.549805,470355,,,,,,,,,,,,,,16-03-2022,470355,1287234
17-03-2022,3113.5,3163.300049,3076.5,3136.600098,3118.628174,2867519,4218,4239,4166.100098,4192.75,4192.75,608024,,,,,,,,,,,,,,17-03-2022,608024,2867519
21-03-2022,3117.300049,3117.300049,3030.100098,3045.75,3028.298584,1259015,4217,4217,4080.600098,4095.199951,4095.199951,370641,,,,,,,,,,,,,,21-03-2022,370641,1259015
22-03-2022,3024,3062.699951,2975,3051.149902,3033.667725,1515772,4129,4129,4031,4054,4054,396898,,,,,,,,,,,,,,22-03-2022,396898,1515772
23-03-2022,3060,3079.899902,3005,3016.800049,2999.514648,948403,4085.699951,4119,4064.600098,4091.350098,4091.350098,285639,,,,,,,,,,,,,,23-03-2022,285639,948403
24-03-2022,2969.5,3038.949951,2950.550049,3025.350098,3008.015625,1243917,4086.25,4086.25,4031.550049,4042.850098,4042.850098,374573,,,,,,,,,,,,,,24-03-2022,374573,1243917
25-03-2022,3025.350098,3064.550049,2991,3046.949951,3029.491699,1083275,4069,4069,3995,4001.300049,4001.300049,440558,,,,,,,,,,,,,,25-03-2022,440558,1083275
28-03-2022,3046.949951,3058.600098,2995.649902,3027.449951,3010.103516,680332,4005.149902,4021,3975.050049,4010.050049,4010.050049,428027,,,,,,,,,,,,,,28-03-2022,428027,680332
29-03-2022,3069,3087.699951,3012.699951,3042.600098,3025.166748,1120936,4010.050049,4037.800049,3985,4006.100098,4006.100098,397614,,,,,,,,,,,,,,29-03-2022,397614,1120936
30-03-2022,3078,3094.350098,3055.899902,3081.550049,3063.893555,849545,4025,4084,3945,3973.399902,3973.399902,580732,,,,,,,,,,,,,,30-03-2022,580732,849545
31-03-2022,3115,3129.25,3066.100098,3079.949951,3062.302734,1464862,4028,4040,3983.050049,4003.350098,4003.350098,492437,,,,,,,,,,,,,,31-03-2022,492437,1464862
01-04-2022,3110,3121,3087.649902,3114.149902,3096.306641,637392,4013,4093,4000,4082.199951,4082.199951,416596,,,,,,,,,,,,,,01-04-2022,416596,637392
04-04-2022,3124.949951,3143,3093.5,3118,3100.134766,873264,4120,4150,4076.149902,4106.649902,4106.649902,438581,,,,,,,,,,,,,,04-04-2022,438581,873264
05-04-2022,3110,3157,3080,3140.800049,3122.804199,805874,4138.75,4148,4100,4109.700195,4109.700195,277248,,,,,,,,,,,,,,05-04-2022,277248,805874
06-04-2022,3137,3165,3113,3154,3135.928467,736379,4090,4139.799805,4085.600098,4101.899902,4101.899902,218183,,,,,,,,,,,,,,06-04-2022,218183,736379
07-04-2022,3154,3208.949951,3145.5,3155,3136.922607,1025244,4099.899902,4244,4092,4159.700195,4159.700195,979784,,,,,,,,,,,,,,07-04-2022,979784,1025244
08-04-2022,3168,3220,3151.199951,3206.25,3187.87915,678898,4165,4208,4118,4146.25,4146.25,358035,,,,,,,,,,,,,,08-04-2022,358035,678898
11-04-2022,3184,3222,3150,3157.449951,3139.358643,672652,4136.799805,4200,4130.049805,4171.600098,4171.600098,202944,,,,,,,,,,,,,,11-04-2022,202944,672652
12-04-2022,3154.699951,3162.100098,3114.149902,3128.649902,3110.723633,794265,4174.950195,4174.950195,4075,4088.699951,4088.699951,228548,,,,,,,,,,,,,,12-04-2022,228548,794265
13-04-2022,3117.199951,3121.899902,3066.100098,3080.649902,3062.998535,1121350,4101,4117.950195,4081.699951,4090.899902,4090.899902,157516,,,,,,,,,,,,,,13-04-2022,157516,1121350
18-04-2022,3056,3058,3013,3021.550049,3004.237305,1032504,4065,4079,4009,4056,4056,193904,,,,,,,,,,,,,,18-04-2022,193904,1032504
19-04-2022,3030,3059.199951,2970,2991.199951,2974.061279,749782,4089.899902,4131.899902,3975,4008.899902,4008.899902,222195,,,,,,,,,,,,,,19-04-2022,222195,749782
20-04-2022,2991.300049,3089.5,2980,3083,3065.335205,838182,4026,4065,4000,4054.800049,4054.800049,222817,,,,,,,,,,,,,,20-04-2022,222817,838182
21-04-2022,3089.800049,3174.399902,3086.050049,3158.25,3140.154053,1069035,4075,4080,4015,4030.25,4030.25,209196,,,,,,,,,,,,,,21-04-2022,209196,1069035
22-04-2022,3121.5,3173.300049,3113.25,3164.399902,3146.268799,681191,4028.649902,4060.050049,3995.75,4028.850098,4028.850098,210640,,,,,,,,,,,,,,22-04-2022,210640,681191
25-04-2022,3134,3155.100098,3095.100098,3130.600098,3112.662598,1096774,4000,4022.350098,3975.050049,3989.199951,3989.199951,204726,,,,,,,,,,,,,,25-04-2022,204726,1096774
26-04-2022,3130,3148.699951,3105.800049,3125.649902,3107.740723,1703441,4009.800049,4050,3994.399902,4044.25,4044.25,198101,,,,,,,,,,,,,,26-04-2022,198101,1703441
27-04-2022,3096,3164,3085.949951,3148.350098,3130.310791,963536,4006.100098,4024.350098,3960,3977.699951,3977.699951,169916,,,,,,,,,,,,,,27-04-2022,169916,963536
